Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Tilt angle,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
Emlid base,,,,,,base of the rover-base configuration. Computed with 10 min integration of gps base.,-67.78685015,-22.95982209,5182.212,Global,,0.267,0.240,0.742,0.358,1.394,m,SINGLE,NONE,2025-11-24 15:47:47.4 UTC-03:00,2025-11-24 15:57:47.4 UTC-03:00,2951,1.1,1.2,,,,,,,,,SC globale,,,,,,Reach RS3,8243C1E15DCF747A
Emlid base position measured with the stick,,,,,,base of the rover-base configuration. Computed with 10 min integration of gps base.,-67.78685040,-22.95982081,5182.146,Global,"2,6",0.012,0.012,0.011,0.016,1.734,m,FIX,RTK,2025-11-24 16:04:58.6 UTC-03:00,2025-11-24 16:04:58.6 UTC-03:00,1,1.2,1.4,,,,-67.78685015,-22.95982209,5183.606,0.280,,SC globale,8,5,8,6,0,Reach RS3,824351435C6D6A75
Target 38,,,,,,,-67.78777855,-22.96024432,5184.658,Global,"6,9",0.013,0.013,0.012,0.018,1.734,m,FIX,RTK,2025-11-24 17:21:28.4 UTC-03:00,2025-11-24 17:21:28.4 UTC-03:00,1,1.1,1.3,,,,-67.78685015,-22.95982209,5183.606,106.404,,SC globale,9,6,7,6,0,Reach RS3,824351435C6D6A75
Target 9,,,,,,,-67.78810372,-22.96019395,5184.925,Global,"4,0",0.012,0.012,0.012,0.017,1.734,m,FIX,RTK,2025-11-24 17:22:42.4 UTC-03:00,2025-11-24 17:22:42.4 UTC-03:00,1,1.4,1.6,,,,-67.78685015,-22.95982209,5183.606,135.095,,SC globale,8,6,8,6,0,Reach RS3,824351435C6D6A75
Target 18,,,,,,,-67.78803844,-22.96047283,5185.385,Global,"5,5",0.012,0.012,0.012,0.017,1.734,m,FIX,RTK,2025-11-24 17:23:53.2 UTC-03:00,2025-11-24 17:23:53.2 UTC-03:00,1,1.1,1.2,,,,-67.78685015,-22.95982209,5183.606,141.626,,SC globale,9,6,8,6,0,Reach RS3,824351435C6D6A75
Target 19,,,,,,,-67.78773138,-22.96056896,5185.299,Global,"5,5",0.012,0.012,0.012,0.017,1.734,m,FIX,RTK,2025-11-24 17:24:39.6 UTC-03:00,2025-11-24 17:24:39.6 UTC-03:00,1,1.0,1.2,,,,-67.78685015,-22.95982209,5183.606,122.788,,SC globale,9,6,8,6,0,Reach RS3,824351435C6D6A75
Target 7,,,,,,,-67.78789532,-22.96045260,5185.145,Global,"5,3",0.012,0.012,0.012,0.017,1.734,m,FIX,RTK,2025-11-24 17:27:33.8 UTC-03:00,2025-11-24 17:27:33.8 UTC-03:00,1,1.0,1.2,,,,-67.78685015,-22.95982209,5183.606,128.135,,SC globale,9,6,7,6,0,Reach RS3,824351435C6D6A75
Target 8,,,,,,,-67.78790420,-22.95967961,5185.581,Global,"2,6",0.012,0.012,0.011,0.017,1.734,m,FIX,RTK,2025-11-24 17:32:45.6 UTC-03:00,2025-11-24 17:32:45.6 UTC-03:00,1,1.1,1.3,,,,-67.78685015,-22.95982209,5183.606,109.322,,SC globale,9,6,7,7,0,Reach RS3,824351435C6D6A75
Target 27,,,,,,,-67.78865745,-22.96009264,5184.594,Global,"3,7",0.012,0.012,0.011,0.017,1.734,m,FIX,RTK,2025-11-24 17:34:51.6 UTC-03:00,2025-11-24 17:34:51.6 UTC-03:00,1,1.0,1.2,,,,-67.78685015,-22.95982209,5183.606,187.867,,SC globale,9,6,7,7,0,Reach RS3,824351435C6D6A75
Target 17,,,,,,,-67.78854868,-22.95940174,5185.754,Global,"10,7",0.013,0.013,0.013,0.018,1.734,m,FIX,RTK,2025-11-24 17:36:24.2 UTC-03:00,2025-11-24 17:36:24.2 UTC-03:00,1,1.1,1.2,,,,-67.78685015,-22.95982209,5183.606,180.411,,SC globale,9,6,7,7,0,Reach RS3,824351435C6D6A75
