latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode
-22.959841,-67.786415,20.0,270.0,700.0000000000001,0,1,-45.0,-1,0,0,10.0,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.95992174740781,-67.78297378515451,500.04172159494556,270.0,700.0000000000001,0,1,-45.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.95992175379731,-67.78318873495758,521.1594388696885,270.0,700.0000000000001,0,1,-47.5,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921760138087,-67.78341245294781,541.2947543585815,270.0,700.0000000000001,0,1,-49.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921766381882,-67.78364451328962,560.4093488110457,270.0,700.0000000000001,0,1,-52.50000000000001,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.95992177248119,-67.78388447428325,578.4668458327469,270.0,700.0000000000001,0,1,-55.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921766381882,-67.78364451328962,560.4093488110457,270.0,700.0000000000001,0,1,-52.50000000000001,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921760138087,-67.78341245294781,541.2947543585815,270.0,700.0000000000001,0,1,-49.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.95992175379731,-67.78318873495758,521.1594388696885,270.0,700.0000000000001,0,1,-47.5,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.95992174740781,-67.78297378515451,500.04172159494556,270.0,700.0000000000001,0,1,-45.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.95992175379731,-67.78318873495758,521.1594388696885,270.0,700.0000000000001,0,1,-47.5,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921760138087,-67.78341245294781,541.2947543585815,270.0,700.0000000000001,0,1,-49.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921766381882,-67.78364451328962,560.4093488110457,270.0,700.0000000000001,0,1,-52.50000000000001,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.95992177248119,-67.78388447428325,578.4668458327469,270.0,700.0000000000001,0,1,-55.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921766381882,-67.78364451328962,560.4093488110457,270.0,700.0000000000001,0,1,-52.50000000000001,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921760138087,-67.78341245294781,541.2947543585815,270.0,700.0000000000001,0,1,-49.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.95992175379731,-67.78318873495758,521.1594388696885,270.0,700.0000000000001,0,1,-47.5,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.95992174740781,-67.78297378515451,500.04172159494556,270.0,700.0000000000001,0,1,-45.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.95992175379731,-67.78318873495758,521.1594388696885,270.0,700.0000000000001,0,1,-47.5,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921760138087,-67.78341245294781,541.2947543585815,270.0,700.0000000000001,0,1,-49.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921766381882,-67.78364451328962,560.4093488110457,270.0,700.0000000000001,0,1,-52.50000000000001,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
