latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode
-22.959841,-67.786415,20.0,270.0,700.0000000000001,0,1,-47.5,-1,0,0,10.0,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.95992175379731,-67.78318873495758,521.1594388696885,270.0,700.0000000000001,0,1,-47.5,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.95992175697681,-67.78329952416256,531.3523364901966,270.0,700.0000000000001,0,1,-48.75000000000001,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921760138087,-67.78341245294781,541.2947543585815,270.0,700.0000000000001,0,1,-49.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921763275094,-67.7835274675689,550.9819616030327,270.0,700.0000000000001,0,1,-51.24999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921766381882,-67.78364451328962,560.4093488110457,270.0,700.0000000000001,0,1,-52.50000000000001,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921763275094,-67.7835274675689,550.9819616030327,270.0,700.0000000000001,0,1,-51.24999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921760138087,-67.78341245294781,541.2947543585815,270.0,700.0000000000001,0,1,-49.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.95992175697681,-67.78329952416256,531.3523364901966,270.0,700.0000000000001,0,1,-48.75000000000001,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.95992175379731,-67.78318873495758,521.1594388696885,270.0,700.0000000000001,0,1,-47.5,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.95992175697681,-67.78329952416256,531.3523364901966,270.0,700.0000000000001,0,1,-48.75000000000001,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921760138087,-67.78341245294781,541.2947543585815,270.0,700.0000000000001,0,1,-49.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921763275094,-67.7835274675689,550.9819616030327,270.0,700.0000000000001,0,1,-51.24999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921766381882,-67.78364451328962,560.4093488110457,270.0,700.0000000000001,0,1,-52.50000000000001,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921763275094,-67.7835274675689,550.9819616030327,270.0,700.0000000000001,0,1,-51.24999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.959921760138087,-67.78341245294781,541.2947543585815,270.0,700.0000000000001,0,1,-49.99999999999999,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.95992175697681,-67.78329952416256,531.3523364901966,270.0,700.0000000000001,0,1,-48.75000000000001,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
