latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode
-22.960249,-67.786899,20.0,0.0,700.0,0,1,-51.0,-1,0,0,10.0,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.961217,-67.786888,100.0,0.0,700.0,0,1,-51.0,-1,0,0,10.0,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.96389614056409,-67.78779606354033,549.0652467481723,0.0,700.0,0,1,-51.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963678268328252,-67.78779606354033,567.7612469831702,0.0,700.0,0,1,-53.5,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963453247375835,-67.78779606354033,585.3861590945144,0.0,700.0,0,1,-56.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963221505988567,-67.78779606354033,601.9064421092762,0.0,700.0,0,1,-58.5,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962983485226893,-67.78779606354033,617.2906574704348,0.0,700.0,0,1,-61.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963221505988567,-67.78779606354033,601.9064421092762,0.0,700.0,0,1,-58.5,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963453247375835,-67.78779606354033,585.3861590945144,0.0,700.0,0,1,-56.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963678268328252,-67.78779606354033,567.7612469831702,0.0,700.0,0,1,-53.5,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.96389614056409,-67.78779606354033,549.0652467481723,0.0,700.0,0,1,-51.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963678268328252,-67.78779606354033,567.7612469831702,0.0,700.0,0,1,-53.5,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963453247375835,-67.78779606354033,585.3861590945144,0.0,700.0,0,1,-56.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963221505988567,-67.78779606354033,601.9064421092762,0.0,700.0,0,1,-58.5,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962983485226893,-67.78779606354033,617.2906574704348,0.0,700.0,0,1,-61.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963221505988567,-67.78779606354033,601.9064421092762,0.0,700.0,0,1,-58.5,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963453247375835,-67.78779606354033,585.3861590945144,0.0,700.0,0,1,-56.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963678268328252,-67.78779606354033,567.7612469831702,0.0,700.0,0,1,-53.5,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.96389614056409,-67.78779606354033,549.0652467481723,0.0,700.0,0,1,-51.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963678268328252,-67.78779606354033,567.7612469831702,0.0,700.0,0,1,-53.5,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963453247375835,-67.78779606354033,585.3861590945144,0.0,700.0,0,1,-56.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963221505988567,-67.78779606354033,601.9064421092762,0.0,700.0,0,1,-58.5,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962983485226893,-67.78779606354033,617.2906574704348,0.0,700.0,0,1,-61.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963221505988567,-67.78779606354033,601.9064421092762,0.0,700.0,0,1,-58.5,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963453247375835,-67.78779606354033,585.3861590945144,0.0,700.0,0,1,-56.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963678268328252,-67.78779606354033,567.7612469831702,0.0,700.0,0,1,-53.5,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.96389614056409,-67.78779606354033,549.0652467481723,0.0,700.0,0,1,-51.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963678268328252,-67.78779606354033,567.7612469831702,0.0,700.0,0,1,-53.5,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963453247375835,-67.78779606354033,585.3861590945144,0.0,700.0,0,1,-56.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963221505988567,-67.78779606354033,601.9064421092762,0.0,700.0,0,1,-58.5,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962983485226893,-67.78779606354033,617.2906574704348,0.0,700.0,0,1,-61.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963221505988567,-67.78779606354033,601.9064421092762,0.0,700.0,0,1,-58.5,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963453247375835,-67.78779606354033,585.3861590945144,0.0,700.0,0,1,-56.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963678268328252,-67.78779606354033,567.7612469831702,0.0,700.0,0,1,-53.5,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.96389614056409,-67.78779606354033,549.0652467481723,0.0,700.0,0,1,-51.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963678268328252,-67.78779606354033,567.7612469831702,0.0,700.0,0,1,-53.5,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963453247375835,-67.78779606354033,585.3861590945144,0.0,700.0,0,1,-56.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963221505988567,-67.78779606354033,601.9064421092762,0.0,700.0,0,1,-58.5,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.962983485226893,-67.78779606354033,617.2906574704348,0.0,700.0,0,1,-61.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963221505988567,-67.78779606354033,601.9064421092762,0.0,700.0,0,1,-58.5,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963453247375835,-67.78779606354033,585.3861590945144,0.0,700.0,0,1,-56.0,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
-22.963678268328252,-67.78779606354033,567.7612469831702,0.0,700.0,0,1,-53.5,-1,0,0,1.5,-22.959921820714015,-67.78779606354033,5.047795250913623,0
