latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode
-22.960249,-67.786899,20.0,0.0,516.3486791904957,0,1,-48.497651287924064,-1,0,0,10.0,-22.959713649999994,-67.78728654999999,4.509000001145978,0
-22.961217,-67.786888,100.0,0.0,516.3486791904957,0,1,-48.497651287924064,-1,0,0,10.0,-22.959713649999994,-67.78728654999999,4.509000001145978,0
-22.96275555817685,-67.78785412998369,391.2247854324205,9.8026196827285,516.3486791904957,0,1,-48.497651287924064,-1,0,0,1.5,-22.959713649999994,-67.78728654999999,4.509000001145978,0
-22.96263371735533,-67.7878313976011,402.9297291829571,9.8026196827285,516.3486791904957,0,1,-50.497651287924064,-1,0,0,1.5,-22.959713649999994,-67.78728654999999,4.509000001145978,0
-22.962508319547354,-67.78780800155747,414.14927874521527,9.8026196827285,516.3486791904957,0,1,-52.49765128792406,-1,0,0,1.5,-22.959713649999994,-67.78728654999999,4.509000001145978,0
-22.96237951751968,-67.78778397035893,424.8697674376117,9.8026196827285,516.3486791904957,0,1,-54.49765128792405,-1,0,0,1.5,-22.959713649999994,-67.78728654999999,4.509000001145978,0
-22.96224746818337,-67.7877593332847,435.078136553685,9.8026196827285,516.3486791904957,0,1,-56.49765128792405,-1,0,0,1.5,-22.959713649999994,-67.78728654999999,4.509000001145978,0
-22.962112332402715,-67.78773412035153,444.7619512648762,9.8026196827285,516.3486791904957,0,1,-58.497651287924064,-1,0,0,1.5,-22.959713649999994,-67.78728654999999,4.509000001145978,0
-22.96224746818337,-67.7877593332847,435.078136553685,9.8026196827285,516.3486791904957,0,1,-56.49765128792405,-1,0,0,1.5,-22.959713649999994,-67.78728654999999,4.509000001145978,0
-22.96237951751968,-67.78778397035893,424.8697674376117,9.8026196827285,516.3486791904957,0,1,-54.49765128792405,-1,0,0,1.5,-22.959713649999994,-67.78728654999999,4.509000001145978,0
-22.962508319547354,-67.78780800155747,414.14927874521527,9.8026196827285,516.3486791904957,0,1,-52.49765128792406,-1,0,0,1.5,-22.959713649999994,-67.78728654999999,4.509000001145978,0
