latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode
-22.959841,-67.786415,20.0,270.0,464.2982072127709,0,1,-53.82393603301786,-1,0,0,10.0,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95993024484838,-67.784535961947,379.2712090468167,273.2356504498752,464.2982072127709,0,1,-53.82393603301786,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959926049865345,-67.78461612725478,385.160195189108,273.2356504498752,464.2982072127709,0,1,-55.073936033017866,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959921790448323,-67.78469752295516,390.8680053916987,273.2356504498752,464.2982072127709,0,1,-56.32393603301787,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959917468622514,-67.78478011031166,396.39192353309227,273.2356504498752,464.2982072127709,0,1,-57.573936033017844,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959913086442818,-67.78486385002113,401.72932101029073,273.2356504498752,464.2982072127709,0,1,-58.82393603301786,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959917468622514,-67.78478011031166,396.39192353309227,273.2356504498752,464.2982072127709,0,1,-57.573936033017844,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959921790448323,-67.78469752295516,390.8680053916987,273.2356504498752,464.2982072127709,0,1,-56.32393603301787,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959926049865345,-67.78461612725478,385.160195189108,273.2356504498752,464.2982072127709,0,1,-55.073936033017866,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95993024484838,-67.784535961947,379.2712090468167,273.2356504498752,464.2982072127709,0,1,-53.82393603301786,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959926049865345,-67.78461612725478,385.160195189108,273.2356504498752,464.2982072127709,0,1,-55.073936033017866,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959921790448323,-67.78469752295516,390.8680053916987,273.2356504498752,464.2982072127709,0,1,-56.32393603301787,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959917468622514,-67.78478011031166,396.39192353309227,273.2356504498752,464.2982072127709,0,1,-57.573936033017844,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959913086442818,-67.78486385002113,401.72932101029073,273.2356504498752,464.2982072127709,0,1,-58.82393603301786,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959917468622514,-67.78478011031166,396.39192353309227,273.2356504498752,464.2982072127709,0,1,-57.573936033017844,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959921790448323,-67.78469752295516,390.8680053916987,273.2356504498752,464.2982072127709,0,1,-56.32393603301787,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959926049865345,-67.78461612725478,385.160195189108,273.2356504498752,464.2982072127709,0,1,-55.073936033017866,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95993024484838,-67.784535961947,379.2712090468167,273.2356504498752,464.2982072127709,0,1,-53.82393603301786,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959926049865345,-67.78461612725478,385.160195189108,273.2356504498752,464.2982072127709,0,1,-55.073936033017866,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959921790448323,-67.78469752295516,390.8680053916987,273.2356504498752,464.2982072127709,0,1,-56.32393603301787,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959917468622514,-67.78478011031166,396.39192353309227,273.2356504498752,464.2982072127709,0,1,-57.573936033017844,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959913086442818,-67.78486385002113,401.72932101029073,273.2356504498752,464.2982072127709,0,1,-58.82393603301786,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959917468622514,-67.78478011031166,396.39192353309227,273.2356504498752,464.2982072127709,0,1,-57.573936033017844,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959921790448323,-67.78469752295516,390.8680053916987,273.2356504498752,464.2982072127709,0,1,-56.32393603301787,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959926049865345,-67.78461612725478,385.160195189108,273.2356504498752,464.2982072127709,0,1,-55.073936033017866,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95993024484838,-67.784535961947,379.2712090468167,273.2356504498752,464.2982072127709,0,1,-53.82393603301786,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959926049865345,-67.78461612725478,385.160195189108,273.2356504498752,464.2982072127709,0,1,-55.073936033017866,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959921790448323,-67.78469752295516,390.8680053916987,273.2356504498752,464.2982072127709,0,1,-56.32393603301787,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959917468622514,-67.78478011031166,396.39192353309227,273.2356504498752,464.2982072127709,0,1,-57.573936033017844,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959913086442818,-67.78486385002113,401.72932101029073,273.2356504498752,464.2982072127709,0,1,-58.82393603301786,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959917468622514,-67.78478011031166,396.39192353309227,273.2356504498752,464.2982072127709,0,1,-57.573936033017844,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959921790448323,-67.78469752295516,390.8680053916987,273.2356504498752,464.2982072127709,0,1,-56.32393603301787,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.959926049865345,-67.78461612725478,385.160195189108,273.2356504498752,464.2982072127709,0,1,-55.073936033017866,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
-22.95993024484838,-67.784535961947,379.2712090468167,273.2356504498752,464.2982072127709,0,1,-53.82393603301786,-1,0,0,1.5,-22.959790710000004,-67.78720174999998,4.47799999970357,0
