latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode
-22.959841,-67.786415,20.0,270.0,510.5479280607268,0,1,-42.70894051244932,-1,0,0,10.0,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959920266834274,-67.78429221396087,351.71066372424775,269.3776708642144,510.5479280607268,0,1,-42.70894051244932,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959921017481744,-67.78436668307478,359.81179510754373,269.3776708642144,510.5479280607268,0,1,-43.95894051244931,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959921785268843,-67.78444285595668,367.7442542842682,269.3776708642144,510.5479280607268,0,1,-45.20894051244931,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959922569827707,-67.78452069635229,375.5042664669645,269.3776708642144,510.5479280607268,0,1,-46.45894051244932,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.95992337078253,-67.78460016721421,383.08813894593186,269.3776708642144,510.5479280607268,0,1,-47.70894051244932,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959922569827707,-67.78452069635229,375.5042664669645,269.3776708642144,510.5479280607268,0,1,-46.45894051244932,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959921785268843,-67.78444285595668,367.7442542842682,269.3776708642144,510.5479280607268,0,1,-45.20894051244931,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959921017481744,-67.78436668307478,359.81179510754373,269.3776708642144,510.5479280607268,0,1,-43.95894051244931,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959920266834274,-67.78429221396087,351.71066372424775,269.3776708642144,510.5479280607268,0,1,-42.70894051244932,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959921017481744,-67.78436668307478,359.81179510754373,269.3776708642144,510.5479280607268,0,1,-43.95894051244931,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959921785268843,-67.78444285595668,367.7442542842682,269.3776708642144,510.5479280607268,0,1,-45.20894051244931,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959922569827707,-67.78452069635229,375.5042664669645,269.3776708642144,510.5479280607268,0,1,-46.45894051244932,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.95992337078253,-67.78460016721421,383.08813894593186,269.3776708642144,510.5479280607268,0,1,-47.70894051244932,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959922569827707,-67.78452069635229,375.5042664669645,269.3776708642144,510.5479280607268,0,1,-46.45894051244932,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959921785268843,-67.78444285595668,367.7442542842682,269.3776708642144,510.5479280607268,0,1,-45.20894051244931,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959921017481744,-67.78436668307478,359.81179510754373,269.3776708642144,510.5479280607268,0,1,-43.95894051244931,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959920266834274,-67.78429221396087,351.71066372424775,269.3776708642144,510.5479280607268,0,1,-42.70894051244932,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959921017481744,-67.78436668307478,359.81179510754373,269.3776708642144,510.5479280607268,0,1,-43.95894051244931,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959921785268843,-67.78444285595668,367.7442542842682,269.3776708642144,510.5479280607268,0,1,-45.20894051244931,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959922569827707,-67.78452069635229,375.5042664669645,269.3776708642144,510.5479280607268,0,1,-46.45894051244932,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.95992337078253,-67.78460016721421,383.08813894593186,269.3776708642144,510.5479280607268,0,1,-47.70894051244932,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959922569827707,-67.78452069635229,375.5042664669645,269.3776708642144,510.5479280607268,0,1,-46.45894051244932,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959921785268843,-67.78444285595668,367.7442542842682,269.3776708642144,510.5479280607268,0,1,-45.20894051244931,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959921017481744,-67.78436668307478,359.81179510754373,269.3776708642144,510.5479280607268,0,1,-43.95894051244931,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959920266834274,-67.78429221396087,351.71066372424775,269.3776708642144,510.5479280607268,0,1,-42.70894051244932,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959921017481744,-67.78436668307478,359.81179510754373,269.3776708642144,510.5479280607268,0,1,-43.95894051244931,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
