latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode
-22.959841,-67.786415,20.0,270.0,469.11211262194,0,1,-52.34848759286173,-1,0,0,10.0,-22.959713649999994,-67.78728654999999,4.509000001145978,0
-22.959934482914104,-67.7845049212527,375.9328606896215,274.9004544930495,469.11211262194,0,1,-52.34848759286173,-1,0,0,1.5,-22.959713649999994,-67.78728654999999,4.509000001145978,0
-22.959928187419955,-67.78458423666783,382.0953333931957,274.9004544930495,469.11211262194,0,1,-53.59848759286174,-1,0,0,1.5,-22.959713649999994,-67.78728654999999,4.509000001145978,0
-22.959921789806437,-67.78466483800425,388.0781031906454,274.9004544930495,469.11211262194,0,1,-54.848487592861744,-1,0,0,1.5,-22.959713649999994,-67.78728654999999,4.509000001145978,0
-22.959915293116314,-67.784746686903,393.8783231141588,274.9004544930495,469.11211262194,0,1,-56.09848759286174,-1,0,0,1.5,-22.959713649999994,-67.78728654999999,4.509000001145978,0
-22.959908700439435,-67.78482974441187,399.49323307501345,274.9004544930495,469.11211262194,0,1,-57.34848759286173,-1,0,0,1.5,-22.959713649999994,-67.78728654999999,4.509000001145978,0
-22.959915293116314,-67.784746686903,393.8783231141588,274.9004544930495,469.11211262194,0,1,-56.09848759286174,-1,0,0,1.5,-22.959713649999994,-67.78728654999999,4.509000001145978,0
-22.959921789806437,-67.78466483800425,388.0781031906454,274.9004544930495,469.11211262194,0,1,-54.848487592861744,-1,0,0,1.5,-22.959713649999994,-67.78728654999999,4.509000001145978,0
-22.959928187419955,-67.78458423666783,382.0953333931957,274.9004544930495,469.11211262194,0,1,-53.59848759286174,-1,0,0,1.5,-22.959713649999994,-67.78728654999999,4.509000001145978,0
-22.959934482914104,-67.7845049212527,375.9328606896215,274.9004544930495,469.11211262194,0,1,-52.34848759286173,-1,0,0,1.5,-22.959713649999994,-67.78728654999999,4.509000001145978,0
-22.959928187419955,-67.78458423666783,382.0953333931957,274.9004544930495,469.11211262194,0,1,-53.59848759286174,-1,0,0,1.5,-22.959713649999994,-67.78728654999999,4.509000001145978,0
-22.959921789806437,-67.78466483800425,388.0781031906454,274.9004544930495,469.11211262194,0,1,-54.848487592861744,-1,0,0,1.5,-22.959713649999994,-67.78728654999999,4.509000001145978,0
-22.959915293116314,-67.784746686903,393.8783231141588,274.9004544930495,469.11211262194,0,1,-56.09848759286174,-1,0,0,1.5,-22.959713649999994,-67.78728654999999,4.509000001145978,0
-22.959908700439435,-67.78482974441187,399.49323307501345,274.9004544930495,469.11211262194,0,1,-57.34848759286173,-1,0,0,1.5,-22.959713649999994,-67.78728654999999,4.509000001145978,0
-22.959915293116314,-67.784746686903,393.8783231141588,274.9004544930495,469.11211262194,0,1,-56.09848759286174,-1,0,0,1.5,-22.959713649999994,-67.78728654999999,4.509000001145978,0
-22.959921789806437,-67.78466483800425,388.0781031906454,274.9004544930495,469.11211262194,0,1,-54.848487592861744,-1,0,0,1.5,-22.959713649999994,-67.78728654999999,4.509000001145978,0
-22.959928187419955,-67.78458423666783,382.0953333931957,274.9004544930495,469.11211262194,0,1,-53.59848759286174,-1,0,0,1.5,-22.959713649999994,-67.78728654999999,4.509000001145978,0
-22.959934482914104,-67.7845049212527,375.9328606896215,274.9004544930495,469.11211262194,0,1,-52.34848759286173,-1,0,0,1.5,-22.959713649999994,-67.78728654999999,4.509000001145978,0
