latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,actiontype2,actionparam2,actiontype3,actionparam3,actiontype4,actionparam4,actiontype5,actionparam5,actiontype6,actionparam6,actiontype7,actionparam7,actiontype8,actionparam8,actiontype9,actionparam9,actiontype10,actionparam10,actiontype11,actionparam11,actiontype12,actionparam12,actiontype13,actionparam13,actiontype14,actionparam14,actiontype15,actionparam15,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode,photo_timeinterval,photo_distinterval
-22.959751,-67.786888,30.000000,253.876358,0.000000,0,1,-9.704768,0,1000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,10.000000,-22.960086,-67.788139,7.147000,0,-1,-1
-22.959751,-67.786888,353.242308,267.438246,0.000000,0,1,-43.961141,0,1000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,10.000000,-22.960086,-67.788139,7.147000,0,-1,-1
-22.959941,-67.784636,354.242308,267.443406,0.000000,0,1,-38.961142,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960097,-67.788420,39.835640,0,-1,-1
-22.959949,-67.784635,354.242308,267.572011,0.000000,0,1,-38.961142,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960097,-67.788420,39.835640,0,-1,-1
-22.959941,-67.784636,354.242308,267.442475,0.000000,0,1,-39.961142,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960095,-67.788366,33.098247,0,-1,-1
-22.959949,-67.784635,354.242308,267.572942,0.000000,0,1,-39.961142,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960095,-67.788366,33.098247,0,-1,-1
-22.959941,-67.784636,354.242308,267.441497,0.000000,0,1,-40.961141,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960093,-67.788311,26.458679,0,-1,-1
-22.959949,-67.784635,354.242308,267.573920,0.000000,0,1,-40.961141,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960093,-67.788311,26.458679,0,-1,-1
-22.959941,-67.784636,354.242308,267.440468,0.000000,0,1,-41.961141,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960090,-67.788254,19.918958,0,-1,-1
-22.959949,-67.784635,354.242308,267.574949,0.000000,0,1,-41.961141,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960090,-67.788254,19.918958,0,-1,-1
-22.959941,-67.784636,354.242308,267.439385,0.000000,0,1,-42.961141,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960088,-67.788197,13.481078,0,-1,-1
-22.959949,-67.784635,354.242308,267.576032,0.000000,0,1,-42.961141,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960088,-67.788197,13.481078,0,-1,-1
-22.959941,-67.784636,354.242308,267.438246,0.000000,0,1,-43.961141,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960086,-67.788139,7.147000,0,-1,-1
-22.959949,-67.784635,354.242308,267.577171,0.000000,0,1,-43.961141,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960086,-67.788139,7.147000,0,-1,-1
-22.959941,-67.784636,354.242308,267.437046,0.000000,0,1,-44.961140,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960083,-67.788079,0.918653,0,-1,-1
-22.959949,-67.784635,354.242308,267.578371,0.000000,0,1,-44.961140,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960083,-67.788079,0.918653,0,-1,-1
-22.959941,-67.784636,354.242308,267.435781,0.000000,0,1,-45.961140,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960081,-67.788019,-5.202065,0,-1,-1
-22.959949,-67.784635,354.242308,267.579636,0.000000,0,1,-45.961140,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960081,-67.788019,-5.202065,0,-1,-1
-22.959941,-67.784636,354.242308,267.434448,0.000000,0,1,-46.961139,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960078,-67.787957,-11.213290,0,-1,-1
-22.959949,-67.784635,354.242308,267.580969,0.000000,0,1,-46.961139,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960078,-67.787957,-11.213290,0,-1,-1
-22.959941,-67.784636,354.242308,267.433041,0.000000,0,1,-47.961139,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960076,-67.787894,-17.113190,0,-1,-1
-22.959949,-67.784635,354.242308,267.582376,0.000000,0,1,-47.961139,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960076,-67.787894,-17.113190,0,-1,-1
-22.959941,-67.784636,354.242308,267.431555,0.000000,0,1,-48.961138,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960073,-67.787831,-22.899967,0,-1,-1
-22.959949,-67.784635,354.242308,267.583862,0.000000,0,1,-48.961138,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960073,-67.787831,-22.899967,0,-1,-1
-22.959941,-67.784636,354.242308,267.431555,0.000000,0,1,-48.961138,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960073,-67.787831,-22.899967,0,-1,-1
-22.959949,-67.784635,354.242308,267.582376,0.000000,0,1,-47.961139,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960076,-67.787894,-17.113190,0,-1,-1
-22.959941,-67.784636,354.242308,267.433041,0.000000,0,1,-47.961139,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960076,-67.787894,-17.113190,0,-1,-1
-22.959949,-67.784635,354.242308,267.580969,0.000000,0,1,-46.961139,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960078,-67.787957,-11.213290,0,-1,-1
-22.959941,-67.784636,354.242308,267.434448,0.000000,0,1,-46.961139,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960078,-67.787957,-11.213290,0,-1,-1
-22.959949,-67.784635,354.242308,267.579636,0.000000,0,1,-45.961140,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960081,-67.788019,-5.202065,0,-1,-1
-22.959941,-67.784636,354.242308,267.435781,0.000000,0,1,-45.961140,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.960081,-67.788019,-5.202065,0,-1,-1
