latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,actiontype2,actionparam2,actiontype3,actionparam3,actiontype4,actionparam4,actiontype5,actionparam5,actiontype6,actionparam6,actiontype7,actionparam7,actiontype8,actionparam8,actiontype9,actionparam9,actiontype10,actionparam10,actiontype11,actionparam11,actiontype12,actionparam12,actiontype13,actionparam13,actiontype14,actionparam14,actiontype15,actionparam15,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode,photo_timeinterval,photo_distinterval
-22.959751,-67.786888,30.000000,257.681644,0.000000,0,1,-37.842563,0,1000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,10.000000,-22.959810,-67.787180,6.180000,0,-1,-1
-22.959751,-67.786888,402.215878,272.799785,0.000000,0,1,-52.566305,0,1000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,10.000000,-22.959810,-67.787180,6.180000,0,-1,-1
-22.959944,-67.784222,403.215878,272.807940,0.000000,0,1,-47.566308,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959795,-67.787505,34.179385,0,-1,-1
-22.959952,-67.784223,403.215878,272.956146,0.000000,0,1,-47.566308,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959795,-67.787505,34.179385,0,-1,-1
-22.959944,-67.784222,403.215878,272.806487,0.000000,0,1,-48.566307,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959798,-67.787442,28.347675,0,-1,-1
-22.959952,-67.784223,403.215878,272.957600,0.000000,0,1,-48.566307,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959798,-67.787442,28.347675,0,-1,-1
-22.959944,-67.784222,403.215878,272.804950,0.000000,0,1,-49.566307,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959801,-67.787378,22.630157,0,-1,-1
-22.959952,-67.784223,403.215878,272.959136,0.000000,0,1,-49.566307,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959801,-67.787378,22.630157,0,-1,-1
-22.959944,-67.784222,403.215878,272.803326,0.000000,0,1,-50.566306,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959804,-67.787313,17.028573,0,-1,-1
-22.959952,-67.784223,403.215878,272.960761,0.000000,0,1,-50.566306,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959804,-67.787313,17.028573,0,-1,-1
