latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,actiontype2,actionparam2,actiontype3,actionparam3,actiontype4,actionparam4,actiontype5,actionparam5,actiontype6,actionparam6,actiontype7,actionparam7,actiontype8,actionparam8,actiontype9,actionparam9,actiontype10,actionparam10,actiontype11,actionparam11,actiontype12,actionparam12,actiontype13,actionparam13,actiontype14,actionparam14,actiontype15,actionparam15,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode,photo_timeinterval,photo_distinterval
-22.959751,-67.786888,30.000000,257.681644,0.000000,0,1,-37.842563,0,5.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,10.000000,-22.959810,-67.787180,6.180000,0,-1,-1
-22.959751,-67.786888,361.623632,9.676155,0.000000,0,1,-45.468738,0,5.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,10.000000,-22.959810,-67.787180,6.180000,0,-1,-1
-22.962929,-67.787754,362.623632,2.565936,0.000000,0,1,-45.243151,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959755,-67.787600,7.536488,0,-1,-1
-22.962927,-67.787762,362.623632,2.706880,0.000000,0,1,-45.251943,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959755,-67.787600,7.536488,0,-1,-1
-22.962929,-67.787754,362.623632,3.982519,0.000000,0,1,-45.323516,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959764,-67.787516,7.048351,0,-1,-1
-22.962927,-67.787762,362.623632,4.124053,0.000000,0,1,-45.330572,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959764,-67.787516,7.048351,0,-1,-1
-22.962929,-67.787754,362.623632,5.402707,0.000000,0,1,-45.386324,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959774,-67.787432,6.668534,0,-1,-1
-22.962927,-67.787762,362.623632,5.544703,0.000000,0,1,-45.391630,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959774,-67.787432,6.668534,0,-1,-1
-22.962929,-67.787754,362.623632,6.825633,0.000000,0,1,-45.431498,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959785,-67.787348,6.397154,0,-1,-1
-22.962927,-67.787762,362.623632,6.967959,0.000000,0,1,-45.435042,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959785,-67.787348,6.397154,0,-1,-1
-22.962929,-67.787754,362.623632,8.250413,0.000000,0,1,-45.458981,0,5000.000000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,1.500000,-22.959797,-67.787264,6.234293,0,-1,-1
